ADM4_EN,ADM3_EN,ADM4_PCODE,pop,pop_est
Bagumbayan,Angono,PH0405801001,2594,2367.6122902601455
Kalayaan,Angono,PH0405801005,20886,19798.33740949271
Poblacion Ibaba,Angono,PH0405801007,3747,2081.7169312885485
Poblacion Itaas,Angono,PH0405801008,539,635.0600322659309
San Isidro,Angono,PH0405801009,35744,43951.41130710744
San Pedro,Angono,PH0405801010,1875,3352.9604390983664
San Roque,Angono,PH0405801011,13071,13407.268144933352
San Vicente,Angono,PH0405801012,14518,10362.889429841693
Santo Niño,Angono,PH0405801013,2275,3088.1292044035245
Mahabang Parang,Angono,PH0405801014,39726,35929.6148113083
Calawis,City of Antipolo,PH0405802001,8935,9163.082159919095
Cupang,City of Antipolo,PH0405802002,135996,92321.79315383568
Dela Paz (Pob.),City of Antipolo,PH0405802003,81538,61828.1166112961
Mayamot,City of Antipolo,PH0405802004,53654,99912.06062647294
San Isidro (Pob.),City of Antipolo,PH0405802007,67433,54860.65775185277
San Jose (Pob.),City of Antipolo,PH0405802008,129351,144397.63989996767
San Roque (Pob.),City of Antipolo,PH0405802009,74242,84735.72290944666
Mambugan,City of Antipolo,PH0405802010,55664,80610.80493207068
Bagong Nayon,City of Antipolo,PH0405802011,50326,35317.717808029316
Beverly Hills,City of Antipolo,PH0405802012,1069,4211.909874815341
Dalig,City of Antipolo,PH0405802013,60743,69158.3514102659
Inarawan,City of Antipolo,PH0405802014,33061,24926.847700721348
San Juan,City of Antipolo,PH0405802015,10441,18057.6591473402
San Luis,City of Antipolo,PH0405802016,69136,62483.36713082028
Santa Cruz,City of Antipolo,PH0405802017,67447,56714.25575485788
Muntingdilaw,City of Antipolo,PH0405802018,14676,15012.013128288047
Evangelista,Baras,PH0405803001,4249,2488.7477035105317
Rizal (Pob.),Baras,PH0405803002,2451,1867.1757615085849
San Jose,Baras,PH0405803003,5328,5849.190749823876
San Salvador,Baras,PH0405803004,12724,16373.710949696997
Santiago,Baras,PH0405803005,4204,2619.8676432174743
Concepcion,Baras,PH0405803006,1413,1710.8264595276771
San Juan,Baras,PH0405803007,4970,3387.637362423856
San Miguel,Baras,PH0405803008,1301,767.9142339996204
Mabini,Baras,PH0405803009,2925,1738.432696074464
Pinugay,Baras,PH0405803010,51534,54295.49644021692
Bangad,Binangonan,PH0405804001,1472,1375.34798304705
Batingan,Binangonan,PH0405804002,14990,17013.13293742947
Bilibiran,Binangonan,PH0405804003,19911,11300.952382676112
Binitagan,Binangonan,PH0405804004,540,530.0239878346102
Bombong,Binangonan,PH0405804005,3215,2213.99994640674
Buhangin,Binangonan,PH0405804006,1881,1844.4733961249128
Calumpang,Binangonan,PH0405804007,21095,22513.67195045335
Ginoong Sanay,Binangonan,PH0405804009,1805,1113.6149939369898
Gulod,Binangonan,PH0405804010,1188,1200.9744448427061
Habagatan,Binangonan,PH0405804011,1262,1851.941168785822
Ithan,Binangonan,PH0405804012,3775,2335.58645814434
Janosa,Binangonan,PH0405804013,2884,2469.8966121790436
Kalawaan,Binangonan,PH0405804014,39979,37549.09762122239
Kalinawan,Binangonan,PH0405804015,1663,1549.2967508888514
Kasile,Binangonan,PH0405804016,479,415.27703983724774
Kaytome,Binangonan,PH0405804017,2313,2064.266883805138
Kinaboogan,Binangonan,PH0405804018,1321,777.4419702577252
Kinagatan,Binangonan,PH0405804019,1379,1059.2625906651579
Libis (Pob.),Binangonan,PH0405804020,5012,5788.361188007303
Limbon-limbon,Binangonan,PH0405804021,1807,1333.3225452709282
Lunsad,Binangonan,PH0405804022,11877,10652.016760312035
Mahabang Parang,Binangonan,PH0405804023,12665,14661.484675617032
Macamot,Binangonan,PH0405804024,11284,14408.170502026798
Mambog,Binangonan,PH0405804025,11814,12833.763427457998
Palangoy,Binangonan,PH0405804026,18060,15070.388519115535
Pantok,Binangonan,PH0405804027,18431,16834.613043534806
Pila Pila,Binangonan,PH0405804028,9659,9430.80733601971
Pinagdilawan,Binangonan,PH0405804029,767,606.9478246629895
Pipindan,Binangonan,PH0405804030,2605,1897.3880769363698
Rayap,Binangonan,PH0405804031,1989,2075.578011739978
Sapang,Binangonan,PH0405804032,2381,1926.736894657193
Tabon,Binangonan,PH0405804033,688,818.5018861487406
Tagpos,Binangonan,PH0405804034,16161,24395.623888163904
Tatala,Binangonan,PH0405804035,17625,21223.612200609274
Tayuman,Binangonan,PH0405804036,12565,11658.969421289023
Layunan (Pob.),Binangonan,PH0405804037,2409,3055.4523255965446
Libid (Pob.),Binangonan,PH0405804038,8072,7435.032637600393
Malakaban,Binangonan,PH0405804039,1255,1260.3486574227877
Pag-Asa,Binangonan,PH0405804040,19387,19241.82011203895
San Carlos,Binangonan,PH0405804041,13616,15493.80094723405
San Andres (Pob.),Cainta,PH0405805014,122983,95782.77857149969
San Isidro,Cainta,PH0405805015,89533,118730.19213324094
San Juan,Cainta,PH0405805016,106450,87203.083668935
San Roque,Cainta,PH0405805017,10704,9102.472836640905
Santa Rosa,Cainta,PH0405805018,1776,849.3040672754255
Santo Niño,Cainta,PH0405805019,6349,6751.206425503471
Santo Domingo,Cainta,PH0405805020,48526,67901.96229690462
Balibago,Cardona,PH0405806002,1792,2184.751708763624
Boor,Cardona,PH0405806005,1341,607.8683363431376
Calahan,Cardona,PH0405806007,5963,4912.490230667926
Dalig,Cardona,PH0405806008,6955,6502.0463543177675
Del Remedio (Pob.),Cardona,PH0405806009,2125,2308.8257630674357
Iglesia (Pob.),Cardona,PH0405806012,1921,5737.374148521293
Lambac,Cardona,PH0405806013,1789,1957.3403028661553
Looc,Cardona,PH0405806014,10433,9264.119132837419
Malanggam-Calubacan,Cardona,PH0405806016,497,330.6049124142995
Nagsulo,Cardona,PH0405806017,387,676.1839330805575
Navotas,Cardona,PH0405806018,3375,2348.509864390673
Patunhay,Cardona,PH0405806019,2098,1479.7072053731706
Real (Pob.),Cardona,PH0405806022,337,697.9281950040838
Sampad,Cardona,PH0405806023,2358,1464.572308058889
San Roque (Pob.),Cardona,PH0405806027,3071,5367.058425051643
Subay,Cardona,PH0405806030,4080,3475.570792352398
Ticulio,Cardona,PH0405806032,2269,1278.2995182264856
Tuna,Cardona,PH0405806033,702,899.7488686630394
Bagumbong,Jala-jala,PH0405807001,3533,4959.500545938122
Bayugo,Jala-jala,PH0405807002,5414,4819.524131014761
Second District (Pob.),Jala-jala,PH0405807004,2468,1578.0545661679412
Third District (Pob.),Jala-jala,PH0405807005,3221,2791.8575788927837
Lubo,Jala-jala,PH0405807007,1981,2622.8696839621743
Pagkalinawan,Jala-jala,PH0405807008,2156,3324.3269682336963
Palaypalay,Jala-jala,PH0405807009,2370,2797.092337313277
Punta,Jala-jala,PH0405807010,3027,3083.046192728314
Sipsipin,Jala-jala,PH0405807014,5760,3709.7800325863213
Special District (Pob.),Jala-jala,PH0405807015,4527,4947.7895095484055
Paalaman,Jala-jala,PH0405807016,444,267.1584536142082
Balite (Pob.),Rodriguez (Montalban),PH0405808001,8302,11266.312018251092
Burgos,Rodriguez (Montalban),PH0405808002,50396,58061.22582086345
Geronimo,Rodriguez (Montalban),PH0405808003,6829,6673.577681663
Macabud,Rodriguez (Montalban),PH0405808004,10657,7151.746330378805
Manggahan,Rodriguez (Montalban),PH0405808005,18394,21616.299798804477
Mascap,Rodriguez (Montalban),PH0405808006,5436,3824.0250025348514
Puray,Rodriguez (Montalban),PH0405808007,3683,2247.643732146017
Rosario,Rodriguez (Montalban),PH0405808008,6521,6387.744309047794
San Isidro,Rodriguez (Montalban),PH0405808009,164822,156470.9830903038
San Jose,Rodriguez (Montalban),PH0405808010,143031,151526.32068586684
San Rafael,Rodriguez (Montalban),PH0405808011,33312,26157.12153013988
Bombongan,Morong,PH0405809001,4003,3846.75702767939
Can-Cal-Lan (Caniogan-Calero-Lanang),Morong,PH0405809002,4931,3758.9253144953864
Lagundi,Morong,PH0405809003,10126,16950.139601964525
Maybancal,Morong,PH0405809004,18224,15196.080116287396
San Guillermo,Morong,PH0405809005,13089,11656.21786812269
San Jose (Pob.),Morong,PH0405809006,4419,3205.0324256188132
San Juan (Pob.),Morong,PH0405809007,11258,10877.91425733757
San Pedro (Pob.),Morong,PH0405809008,6212,6770.933388494238
Bagumbayan (Pob.),Pililla,PH0405810001,13483,12105.742074557564
Halayhayin,Pililla,PH0405810003,9806,9654.793195544462
Hulo (Pob.),Pililla,PH0405810004,12126,11211.780113586809
Imatong (Pob.),Pililla,PH0405810005,794,683.1523523475024
Malaya,Pililla,PH0405810006,7546,8498.20106839283
Niogan,Pililla,PH0405810007,5850,4845.992281284201
Quisao,Pililla,PH0405810008,17361,21187.469738951826
Wawa (Pob.),Pililla,PH0405810009,3950,2785.3320187250138
Takungan (Pob.),Pililla,PH0405810010,1587,1530.5371566097951
Ampid I,San Mateo,PH0405811001,26953,29073.742370366464
Dulong Bayan 1,San Mateo,PH0405811002,4875,3922.1852670437743
Dulong Bayan 2,San Mateo,PH0405811003,12657,10316.529850126282
Guinayang,San Mateo,PH0405811004,10615,9604.08463809536
Guitnang Bayan I (Pob.),San Mateo,PH0405811005,35943,40558.72450281218
Guitnang Bayan II (Pob.),San Mateo,PH0405811006,19282,24298.391687795218
Malanday,San Mateo,PH0405811007,15438,16338.235364216245
Maly,San Mateo,PH0405811008,16744,13797.12168333144
Santa Ana,San Mateo,PH0405811010,10332,9740.21637839613
Ampid II,San Mateo,PH0405811011,4288,4535.895305781606
Banaba,San Mateo,PH0405811012,27532,25532.68375396839
Gulod Malaya,San Mateo,PH0405811013,13127,16959.739943333574
Pintong Bocawe,San Mateo,PH0405811014,6094,7574.266573535317
Santo Niño,San Mateo,PH0405811015,13285,13211.471386458772
Silangan,San Mateo,PH0405811016,59284,50985.71129473927
Cayabu,Tanay,PH0405812001,1116,723.6165257087789
Cuyambay,Tanay,PH0405812002,4205,5017.404838752048
Daraitan,Tanay,PH0405812003,5870,4533.819967672392
Katipunan-Bayan (Pob.),Tanay,PH0405812004,6246,6848.432231442033
Kaybuto (Pob.),Tanay,PH0405812005,9166,7154.916668277932
Laiban,Tanay,PH0405812006,2425,1078.4228880222063
Mag-Ampon (Pob.),Tanay,PH0405812007,1989,1464.9542334565965
Mamuyao,Tanay,PH0405812008,919,638.3247181639626
Pinagkamaligan (Pob.),Tanay,PH0405812009,3629,1934.4960723298493
Plaza Aldea (Pob.),Tanay,PH0405812011,33322,41834.42227610823
Sampaloc,Tanay,PH0405812012,32624,43094.65969493674
San Andres,Tanay,PH0405812013,1477,922.7973861739395
San Isidro (Pob.),Tanay,PH0405812014,3288,2645.8520591153288
Santa Inez,Tanay,PH0405812015,2460,1845.9444745779513
Santo Niño,Tanay,PH0405812016,1549,929.9040451607486
Tabing Ilog (Pob.),Tanay,PH0405812017,1891,1559.6524392847791
Tandang Kutyo (Pob.),Tanay,PH0405812018,21243,14913.606777465191
Tinucan,Tanay,PH0405812019,1230,998.5303393830909
Wawa (Pob.),Tanay,PH0405812020,8106,5754.708123493346
Madilay-dilay,Tanay,PH0405812021,2842,1702.5342404748485
Dolores (Pob.),Taytay,PH0405813001,75883,86445.77967123204
Muzon,Taytay,PH0405813002,34422,32737.275348201507
San Isidro,Taytay,PH0405813003,42362,55621.13199038932
San Juan,Taytay,PH0405813004,135535,148491.9314643969
Santa Ana,Taytay,PH0405813005,108909,73814.88152578022
Bagumbayan,Teresa,PH0405814001,14732,13513.438081151302
Dalig,Teresa,PH0405814003,15146,22064.422280324423
Dulumbayan,Teresa,PH0405814004,10027,8633.615185173252
May-Iba,Teresa,PH0405814005,7134,7024.355250320045
Poblacion,Teresa,PH0405814006,1100,1429.9473880890632
Prinza,Teresa,PH0405814007,7790,6400.21987050896
San Gabriel,Teresa,PH0405814008,6101,3990.027777354613
San Roque,Teresa,PH0405814009,4097,3010.645231396592
Calumpang Santo Cristo,Teresa,PH0405814010,1327,1387.3289356817493
